0, 739
1, 654
2, 500
3, 503
4, 477
5, 487
6, 498
7, 484
8, 483
9, 484
10, 482
11, 496
12, 487
13, 486
14, 481
15, 478
16, 497
17, 489
18, 500
19, 500
20, 510
21, 511
22, 500
23, 492
24, 494
25, 531
26, 505
27, 526
28, 519
29, 523
30, 523
31, 524
32, 521
33, 525
34, 519
35, 524
36, 549
37, 525
38, 511
39, 513
40, 515
41, 510
42, 537
43, 533
44, 534
45, 530
46, 540
47, 537
48, 526
49, 531
50, 527
51, 543
52, 529
53, 541
54, 550
55, 549
56, 531
57, 537
58, 547
59, 549
60, 537
61, 548
62, 552
63, 545
64, 563
65, 555
66, 548
67, 560
68, 562
69, 548
70, 563
71, 571
72, 556
73, 554
74, 561
75, 576
76, 557
77, 574
78, 568
79, 562
80, 562
81, 572
82, 572
83, 583
84, 570
85, 578
86, 579
87, 573
88, 585
89, 591
90, 579
91, 592
92, 598
93, 584
94, 601
95, 596
96, 587
97, 593
98, 590
99, 584
100, 592
